City Name,Latitude,Longitude,Cloudiness,Temperature,Humidity,Wind Speed,Country
Saint-Augustin,51.23,-58.65,0,79.29,30,8.5,CA
Katsuura,35.13,140.3,67,82.0,88,6.15,JP
Muisne,0.6,-80.03,100,75.47,83,9.57,EC
Ulladulla,-35.35,150.47,39,57.0,70,5.99,AU
Beloha,-25.17,45.05,0,69.55,45,5.32,MG
Hofn,64.25,-15.21,2,54.28,72,5.91,IS
Hidalgo,20.5,-99.0,53,66.4,64,3.38,MX
Llata,-9.42,-76.78,10,61.11,41,7.99,PE
Gouré,13.98,10.27,97,93.0,54,3.0,NE
Middle Island,40.88,-72.94,100,68.0,95,19.42,US
Mitsamiouli,-11.38,43.28,40,76.24,77,2.21,KM
Ahome,25.92,-109.18,0,90.0,72,1.01,MX
Lábrea,-7.26,-64.8,1,101.75,25,4.16,BR
Hals,57.0,10.31,14,82.99,48,4.0,DK
Khovd,48.01,91.64,99,56.21,73,3.85,MN
Sardarpur,22.68,74.95,100,75.79,94,14.12,IN
Amapá,1.0,-52.0,99,85.78,75,4.29,BR
Pekalongan,-6.89,109.68,3,78.96,80,2.42,ID
Jumla,29.27,82.18,72,65.17,73,1.32,NP
Airai,-8.93,125.41,0,56.73,82,2.42,TL
Batagay,67.63,134.63,50,35.1,85,0.25,RU
Aborlan,9.44,118.55,61,79.05,81,3.69,PH
Albion,42.24,-84.75,74,71.01,83,3.0,US
Udachny,66.42,112.4,0,52.09,55,10.13,RU
Natal,-5.79,-35.21,77,83.88,58,15.9,BR
Portage,41.17,-81.2,3,75.99,71,1.01,US
Banda Aceh,5.56,95.32,3,80.56,77,6.93,ID
Broome,42.25,-75.83,6,75.0,73,1.01,US
Kholodnyy,62.72,147.95,100,43.32,80,4.92,RU
Port Lincoln,-34.73,135.87,70,54.3,71,16.08,AU
Limbang,4.75,115.0,79,78.01,88,1.99,MY
Grand-Lahou,5.14,-5.02,15,77.65,75,9.44,CI
Santa Maria da Vitória,-13.39,-44.19,0,102.11,18,1.92,BR
Mahibadhoo,3.78,72.97,95,83.77,69,4.68,MV
Nemuro,43.32,145.57,0,62.33,90,5.23,JP
Beberibe,-4.18,-38.13,70,86.32,44,14.92,BR
St Albans,51.75,-0.33,100,69.01,80,11.77,GB
Robertsport,6.75,-11.37,73,77.38,77,15.39,LR
Kemijärvi,66.71,27.43,94,54.88,54,7.52,FI
Solenzo,12.18,-4.08,82,83.41,70,9.33,BF
Ahipara,-35.17,173.17,98,50.76,81,9.73,NZ
Pecos,31.42,-103.49,52,86.0,38,15.95,US
Laguna de Perlas,12.34,-83.67,98,80.65,83,4.21,NI
Isangel,-19.55,169.27,100,68.36,89,12.17,VU
Ryōtsu-minato,38.08,138.43,95,77.81,91,5.88,JP
Cambados,42.51,-8.81,99,69.01,68,3.0,ES
Xinzhou,38.41,112.73,100,66.47,93,1.32,CN
Ithaca,42.44,-76.5,2,75.0,70,3.0,US
Qaryat Sulūq,31.67,20.25,0,90.21,41,17.63,LY
Valandovo,41.32,22.56,85,82.99,54,1.01,MK
Westport,41.14,-73.36,100,68.0,99,13.87,US
Ossora,59.24,163.07,95,49.48,87,6.85,RU
Sangar,63.92,127.47,15,44.02,77,2.48,RU
Hokitika,-42.72,170.97,8,43.27,78,5.14,NZ
Sulangan,11.14,123.72,97,84.11,75,9.28,PH
Maniitsoq,65.42,-52.9,0,46.54,61,7.25,GL
Bukama,-9.2,25.85,50,91.54,14,3.56,CD
Pa Daet,19.5,99.99,100,75.99,99,5.14,TH
Letka,59.6,49.42,47,53.89,83,2.53,RU
Ýpsonas,34.69,32.96,0,90.0,41,5.01,CY
Gushikawa,26.35,127.87,0,84.0,79,8.99,JP
Akom,2.67,12.71,96,76.39,90,3.22,CM
Mandalgovi,45.76,106.27,11,66.47,27,14.0,MN
Gemeente Wageningen,51.97,5.67,89,86.0,52,3.02,NL
Yar-Sale,66.83,70.83,100,48.2,77,2.89,RU
Cayenne,4.93,-52.33,100,81.97,81,9.08,GF
Verāval,20.9,70.37,74,82.08,85,19.48,IN
Genhe,50.78,121.52,90,55.22,92,1.9,CN
Tsiroanomandidy,-18.77,46.03,0,70.14,22,1.12,MG
Coruripe,-10.13,-36.18,62,77.86,80,13.31,BR
Pacific Grove,36.62,-121.92,97,79.0,69,4.56,US
Bowen,-20.02,148.23,3,55.0,71,4.88,AU
Pisco,-13.7,-76.22,17,62.01,82,5.01,PE
Samagaltay,50.6,95.0,100,55.62,80,4.76,RU
Mitú,1.2,-70.17,92,91.08,53,2.33,CO
Bac Lieu,9.29,105.72,44,80.13,84,7.87,VN
Gao,16.64,1.64,13,98.06,28,7.02,ML
Tigil',57.8,158.67,5,46.63,85,4.68,RU
Slantsy,59.12,28.09,20,71.64,68,5.84,RU
Labuhan,-6.88,112.21,6,78.46,80,8.28,ID
Karpathos,35.51,27.21,0,79.92,60,17.69,GR
Nouadhibou,20.93,-17.03,4,75.6,71,26.93,MR
Bredy,52.42,60.34,58,58.05,77,10.33,RU
